ac50	pod	call	wauc	channel_name	pathway_name	pathway_abb	low	high	geom_mean	nwauc	inactive_inv_logit
grago_hela_bla_ratio_ac50_4toxpi	grago_hela_bla_ratio_pod_4toxpi	grago_hela_bla_ratio_call	grago_hela_bla_ratio_wauc	gr_activation	gr_agonism	Q	1.3	24.8	5.678027827	grago_hela_bla_ratio_nwauc_4toxpi	0.060847682
grant_hela_bla_ratio_ac50_4toxpi	grant_hela_bla_ratio_pod_4toxpi	grant_hela_bla_ratio_call	grant_hela_bla_ratio_wauc	gr_inhibition	gr_antagonism	R	3.9	30.3	10.87060256	grant_hela_bla_ratio_nwauc_4toxpi	0.032733908
grant_hela_glo_via_ac50_4toxpi	grant_hela_glo_via_pod_4toxpi	grant_hela_glo_via_call	grant_hela_glo_via_wauc	grant_cytotoxicity	grant_cytotoxicity	R.c	3.3	31.2	10.14692072	grant_hela_glo_via_nwauc_4toxpi	0.034986822
hse_hela_bla_ratio_ac50_4toxpi	hse_hela_bla_ratio_pod_4toxpi	hse_hela_bla_ratio_call	hse_hela_bla_ratio_wauc	hse_activation	hse	S	1.3	19.5	5.03487835	hse_hela_bla_ratio_nwauc_4toxpi	0.068091048
hse_hela_glo_via_ac50_4toxpi	hse_hela_glo_via_pod_4toxpi	hse_hela_glo_via_call	hse_hela_glo_via_wauc	hse_cytotoxicity	hse_cytotoxicity	S.c	5.6	24	11.5931014	hse_hela_glo_via_nwauc_4toxpi	0.030756628
mitotox_hepg2_fluor_ratio_ac50_4toxpi	mitotox_hepg2_fluor_ratio_pod_4toxpi	mitotox_hepg2_fluor_ratio_call	mitotox_hepg2_fluor_ratio_wauc	mitotox_inhibition	mitotox	T	4.19	32	11.57929186	mitotox_hepg2_fluor_ratio_nwauc_4toxpi	0.030792179
mitotox_hepg2_glo_via_ac50_4toxpi	mitotox_hepg2_glo_via_pod_4toxpi	mitotox_hepg2_glo_via_call	mitotox_hepg2_glo_via_wauc	mitotox_cytotoxicity	mitotox_cytotoxicity	T.c	2.28	21.4	6.985127057	mitotox_hepg2_glo_via_nwauc_4toxpi	0.05003116
p53_hct116_bla_ratio_ac50_4toxpi	p53_hct116_bla_ratio_pod_4toxpi	p53_hct116_bla_ratio_call	p53_hct116_bla_ratio_wauc	p53_activation	p53	U	1.18	25.6	5.496180492	p53_hct116_bla_ratio_nwauc_4toxpi	0.062734598
p53_hct116_glo_via_ac50_4toxpi	p53_hct116_glo_via_pod_4toxpi	p53_hct116_glo_via_call	p53_hct116_glo_via_wauc	p53_cytotoxicity	p53_cytotoxicity	U.c	3.55	25.8	9.570266454	p53_hct116_glo_via_nwauc_4toxpi	0.037016909
ppardago_hek293_bla_ratio_ac50_4toxpi	ppardago_hek293_bla_ratio_pod_4toxpi	ppardago_hek293_bla_ratio_call	ppardago_hek293_bla_ratio_wauc	ppard_activation	ppard_agonism	V	2.4	16.3	6.254598308	ppardago_hek293_bla_ratio_nwauc_4toxpi	0.055550121
ppardant_hek293_bla_ratio_ac50_4toxpi	ppardant_hek293_bla_ratio_pod_4toxpi	ppardant_hek293_bla_ratio_call	ppardant_hek293_bla_ratio_wauc	ppard_inhibition	ppard_antagonism	W	4.3	25.6	10.49190164	ppardant_hek293_bla_ratio_nwauc_4toxpi	0.033875401
ppardago_hek293_glo_via_ac50_4toxpi	ppardago_hek293_glo_via_pod_4toxpi	ppardago_hek293_glo_via_call	ppardago_hek293_glo_via_wauc	ppardago_cytotoxicity	ppardago_cytotoxicity	V.c	4.7	27.6	11.38946882	ppardago_hek293_glo_via_nwauc_4toxpi	0.031289321
ppardant_hek293_glo_via_ac50_4toxpi	ppardant_hek293_glo_via_pod_4toxpi	ppardant_hek293_glo_via_call	ppardant_hek293_glo_via_wauc	ppardant_cytotoxicity	ppardant_cytotoxicity	W.c	5.75	28.3	12.75637096	ppardant_hek293_glo_via_nwauc_4toxpi	0.028030511
ppargago_hek293_bla_ratio_ac50_4toxpi	ppargago_hek293_bla_ratio_pod_4toxpi	ppargago_hek293_bla_ratio_call	ppargago_hek293_bla_ratio_wauc	pparg_activation	pparg_agonism	X	1.53	11.1	4.121043557	ppargago_hek293_bla_ratio_nwauc_4toxpi	0.081952718
ppargant_hek293_bla_ratio_ac50_4toxpi	ppargant_hek293_bla_ratio_pod_4toxpi	ppargant_hek293_bla_ratio_call	ppargant_hek293_bla_ratio_wauc	pparg_inhibition	pparg_antagonism	Y	4.1	27	10.52140675	ppargant_hek293_bla_ratio_nwauc_4toxpi	0.033783614
ppargant_hek293_glo_via_ac50_4toxpi	ppargant_hek293_glo_via_pod_4toxpi	ppargant_hek293_glo_via_call	ppargant_hek293_glo_via_wauc	ppargant_cytotoxicity	ppargant_cytotoxicity	Y.c	3.63	20	8.520563362	ppargant_hek293_glo_via_nwauc_4toxpi	0.041388514
trago_gh3_luc_resp_ac50_4toxpi	trago_gh3_luc_resp_pod_4toxpi	trago_gh3_luc_resp_call	trago_gh3_luc_resp_wauc	tr_activation	tr_agonism	Z	1.17	9.8	3.386148254	trago_gh3_luc_resp_nwauc_4toxpi	0.097995932
trant_gh3_luc_resp_ac50_4toxpi	trant_gh3_luc_resp_pod_4toxpi	trant_gh3_luc_resp_call	trant_gh3_luc_resp_wauc	tr_inhibition	tr_antagonism	AA	3.53	34	10.95536398	trant_gh3_luc_resp_nwauc_4toxpi	0.032488875
trant_gh3_fluor_via_ac50_4toxpi	trant_gh3_fluor_via_pod_4toxpi	trant_gh3_fluor_via_call	trant_gh3_fluor_via_wauc	trant_cytotoxicity	trant_cytotoxicity	AA.c	4.1	33.2	11.66704761	trant_gh3_fluor_via_nwauc_4toxpi	0.03056765
